"width","V1"
6,235
7,82
8,73
9,125
10,68
11,71
12,92
13,63
14,62
15,81
16,110
17,86
18,76
19,92
20,60
21,79
22,65
23,53
24,98
25,68
26,118
27,60
28,70
29,107
30,43
31,41
32,86
33,72
34,203
35,75
36,47
37,84
38,116
39,52
40,73
41,136
42,58
43,50
44,40
45,43
46,45
47,47
48,54
49,37
50,58
51,49
52,44
53,45
54,29
55,29
56,45
57,46
58,42
59,141
60,42
61,45
62,30
63,41
64,47
65,42
66,47
67,43
68,34
69,38
70,32
71,88
72,30
73,23
74,39
75,45
76,34
77,30
78,32
79,27
80,37
81,32
82,34
83,46
84,39
85,33
86,47
87,30
88,29
89,41
90,26
91,37
92,37
93,30
94,36
95,37
96,32
97,28
98,41
99,32
100,42
101,32
102,37
103,39
104,26
105,32
106,23
107,34
108,35
109,37
110,22
111,33
112,21
113,24
114,34
115,34
116,27
117,34
118,39
119,38
120,27
121,35
122,39
123,37
124,42
125,65
126,406
127,36
128,61
129,31
130,37
131,102
132,44
133,39
134,34
135,32
136,34
137,43
138,39
139,33
140,24
141,29
142,24
143,31
144,34
145,31
146,35
147,42
148,33
149,38
150,32
151,31
152,29
153,42
154,35
155,32
156,23
157,34
158,50
159,26
160,46
161,70
162,33
163,35
164,35
165,27
166,28
167,25
168,43
169,44
170,34
171,35
172,38
173,33
174,31
175,25
176,24
177,38
178,33
179,59
180,37
181,33
182,35
183,41
184,43
185,42
186,26
187,35
188,39
189,35
190,31
191,30
192,44
193,48
194,68
195,128
196,96
197,66
198,225
199,64
200,82
201,42
202,56
203,34
204,34
205,38
206,32
207,38
208,42
209,23
210,26
211,34
212,37
213,37
214,24
215,28
216,51
217,37
218,38
219,37
220,34
221,46
222,61
223,39
224,39
225,38
226,34
227,38
228,44
229,31
230,43
231,44
232,38
233,45
234,71
235,48
236,74
237,38
238,32
239,31
240,23
241,28
242,27
243,27
244,32
245,33
246,29
247,31
248,35
249,31
250,24
251,25
252,40
253,43
254,35
255,55
256,38
257,55
258,26
259,33
260,30
261,36
262,36
263,31
264,66
265,25
266,31
267,30
268,67
269,36
270,31
271,32
272,37
273,37
274,34
275,37
276,32
277,35
278,30
279,24
280,29
281,47
282,37
283,31
284,34
285,29
286,29
287,41
288,99
289,56
290,46
291,23
292,23
293,38
294,32
295,38
296,37
297,32
298,44
299,195
300,27
301,26
302,28
303,30
304,25
305,31
306,49
307,43
308,49
309,49
310,40
311,44
312,41
313,82
314,44
315,44
316,37
317,25
318,33
319,24
320,27
321,35
322,35
323,32
324,45
325,84
326,36
327,31
328,31
329,30
330,37
331,42
332,16
333,34
334,41
335,54
336,32
337,35
338,36
339,26
340,29
341,33
342,44
343,27
344,31
345,30
346,39
347,36
348,43
349,31
350,25
351,42
352,22
353,33
354,26
355,32
356,32
357,41
358,32
359,34
360,41
361,33
362,36
363,38
364,32
365,26
366,21
367,35
368,21
369,41
370,29
371,38
372,28
373,29
374,33
375,30
376,37
377,37
378,25
379,35
380,39
381,24
382,26
383,37
384,28
385,21
386,26
387,23
388,52
389,28
390,25
391,28
392,30
393,46
394,39
395,36
396,38
397,38
398,27
399,38
400,64
401,34
402,28
403,35
404,32
405,34
406,32
407,37
408,33
409,41
410,43
411,45
412,28
413,44
414,25
415,21
416,33
417,33
418,36
419,24
420,26
421,36
422,33
423,28
424,44
425,38
426,39
427,34
428,69
429,35
430,33
431,36
432,29
433,33
434,24
435,35
436,40
437,36
438,40
439,34
440,35
441,29
442,34
443,41
444,29
445,25
446,33
447,30
448,39
449,54
450,38
451,37
452,37
453,56
454,48
455,47
456,24
457,33
458,35
459,30
460,33
461,33
462,55
463,39
464,32
465,28
466,34
467,19
468,33
469,24
470,32
471,30
472,27
473,42
474,26
475,27
476,32
477,36
478,34
479,22
480,40
481,32
482,34
483,40
484,34
485,18
486,28
487,37
488,27
489,23
490,23
491,26
492,28
493,31
494,35
495,41
496,42
497,40
498,32
499,29
500,31
501,37
502,38
503,26
504,30
505,38
506,25
507,30
508,38
509,35
510,33
511,32
512,36
513,25
514,37
515,29
516,32
517,39
518,35
519,29
520,27
521,38
522,40
523,42
524,35
525,34
526,24
527,32
528,31
529,47
530,29
531,42
532,36
533,34
534,37
535,34
536,28
537,31
538,28
539,24
540,35
541,26
542,31
543,30
544,36
545,20
546,24
547,44
548,38
549,26
550,26
551,29
552,35
553,30
554,29
555,29
556,30
557,34
558,36
559,39
560,30
561,45
562,31
563,33
564,28
565,36
566,27
567,35
568,38
569,31
570,22
571,32
572,42
573,26
574,22
575,26
576,24
577,35
578,32
579,34
580,33
581,34
582,36
583,32
584,29
585,29
586,37
587,30
588,23
589,23
590,25
591,40
592,44
593,30
594,20
595,38
596,36
597,36
598,18
599,40
